source_center,destination_center,median_delay,trips
IND700065AAB,IND712310AAA,4.690476190476191,22
IND700136AAG,IND712310AAA,4.666666666666667,31
IND742225AAA,IND742223AAA,4.392857142857142,28
IND421302AAR,IND421301AAA,4.111111111111111,28
IND462001AAA,IND462022AAA,4.0,43
IND210001AAA,IND210427AAA,4.0,27
IND302020AAA,IND302014AAB,3.9861111111111107,20
IND212402AAA,IND211002AAB,3.817460317460317,40
IND742148AAA,IND742225AAA,3.583333333333333,40
IND211011AAA,IND212501AAA,3.5,29
IND209304AAA,IND208019AAA,3.428571428571429,26
IND712310AAE,IND712124AAA,3.4166666666666665,49
IND851127AAA,IND842001AAA,3.414285714285714,64
IND731237AAB,IND731224AAA,3.4,33
IND785690AAB,IND785682AAA,3.380952380952381,62
IND842001AAA,IND843109AAB,3.3333333333333335,23
IND421502AAA,IND421302AAR,3.3333333333333335,33
IND712311AAA,IND700065AAA,3.270833333333333,42
IND732103AAB,IND732202AAA,3.25,24
IND224141AAB,IND224122AAA,3.25,43
IND421302AAR,IND421004AAA,3.2222222222222223,39
IND700088AAA,IND712311AAA,3.2,25
IND224001AAA,IND224141AAB,3.1625,40
IND812002AAA,IND813203AAA,3.162267080745342,32
IND396232AAA,IND396191AAC,3.155555555555556,30
IND792130AAB,IND786001AAB,3.125,43
IND506314AAA,IND506002AAA,3.1176470588235294,21
IND462042AAA,IND462022AAA,3.090909090909091,28
IND500008AAF,IND500039AAC,3.0625,28
IND174101AAB,IND160002AAC,3.0454545454545454,27
IND700065AAA,IND712311AAA,3.0,31
IND742121AAB,IND742121AAA,3.0,22
IND732202AAA,IND732204AAB,3.0,20
IND221313AAA,IND211002AAB,3.0,30
IND181201AAB,IND181152AAB,3.0,21
IND400072AAC,IND400011AAA,2.9444444444444446,22
IND742102AAB,IND731237AAB,2.9375,32
IND852111AAA,IND854326AAB,2.9265873015873014,68
IND635601AAB,IND635802AAB,2.909090909090909,39
IND712124AAA,IND712103AAA,2.9,39
IND271001AAA,IND271201AAA,2.888888888888889,20
IND431001AAB,IND431136AAC,2.888888888888889,29
IND712311AAA,IND700028AAB,2.886904761904762,38
IND742101AAC,IND731237AAB,2.8819444444444446,24
IND389151AAA,IND457661AAA,2.8785714285714286,22
IND400072AAB,IND400015AAA,2.875,78
IND204215AAA,IND207001AAA,2.875,20
IND786181AAC,IND792121AAB,2.866071428571429,44
IND210427AAA,IND209304AAA,2.8607954545454546,40
IND742149AAA,IND742148AAA,2.857142857142857,38
IND401104AAA,IND400072AAB,2.857142857142857,53
IND643212AAA,IND641062AAD,2.857142857142857,20
IND713148AAA,IND713128AAB,2.8128205128205126,30
IND852139AAB,IND854326AAB,2.7888888888888888,80
IND679303AAA,IND679531AAA,2.784090909090909,22
IND742303AAB,IND741165AAB,2.7817460317460316,56
IND788151AAA,IND788713AAA,2.780701754385965,22
IND712311AAA,IND700053AAA,2.769230769230769,35
IND271210AAA,IND271001AAA,2.75,69
IND585307AAB,IND585104AAA,2.75,92
IND743347AAA,IND700053AAA,2.742424242424242,40
IND400072AAB,IND401104AAA,2.732142857142857,118
IND798601AAA,IND785001AAA,2.7182539682539684,38
IND562132AAA,IND560002AAA,2.7,51
IND834002AAB,IND827013AAA,2.666666666666667,128
IND121004AAB,IND110037AAM,2.6666666666666665,98
IND425508AAB,IND450331AAA,2.6666666666666665,39
IND400015AAA,IND400072AAB,2.6666666666666665,52
IND246149AAA,IND249407AAA,2.6491228070175437,26
IND804420AAA,IND803101AAA,2.645833333333333,30
IND380006AAB,IND382430AAB,2.645833333333333,34
IND500039AAC,IND501359AAE,2.6363636363636362,29
IND781018AAB,IND788026AAC,2.6217038539553754,72
IND742101AAC,IND742303AAB,2.619047619047619,24
IND582101AAB,IND580028AAA,2.6125,40
IND841424AAA,IND841428AAA,2.6076923076923078,24
IND825301AAA,IND825409AAA,2.6,27
IND712311AAA,IND700088AAA,2.6,59
IND712311AAA,IND742101AAC,2.5902777777777777,56
IND603203AAA,IND600044AAD,2.585714285714286,24
IND400011AAA,IND400072AAD,2.5833333333333335,89
IND741156AAA,IND742101AAC,2.5714285714285716,31
IND741123AAB,IND741126AAB,2.5634920634920633,46
IND462022AAA,IND466001AAA,2.562608695652174,22
IND245304AAA,IND201007AAA,2.5584415584415585,48
IND742102AAB,IND712311AAA,2.5541795665634677,24
IND126116AAA,IND131301AAA,2.55,20
IND829121AAA,IND834002AAB,2.5357142857142856,34
IND712311AAA,IND732103AAB,2.5357142857142856,36
IND845401AAA,IND845305AAA,2.5322128851540615,40
IND202001AAB,IND205001AAB,2.5294117647058822,35
IND845305AAA,IND842001AAA,2.526315789473684,91
IND416012AAA,IND415612AAA,2.526315789473684,35
IND517501AAB,IND517644AAA,2.504524886877828,26
IND110037AAM,IND110024AAA,2.5,29
IND400072AAB,IND421302AAG,2.5,134
IND401209AAB,IND401104AAA,2.5,20
IND400102AAC,IND421302AAG,2.5,65
IND712311AAA,IND700026AAC,2.485294117647059,60
IND410206AAB,IND000000AFT,2.480769230769231,62
IND854326AAB,IND854105AAB,2.46875,22
IND462022AAA,IND462011AAA,2.4615384615384617,25
IND181152AAB,IND181201AAB,2.4545454545454546,21
IND832109AAB,IND834002AAB,2.4520833333333334,90
IND365560AAB,IND364290AAA,2.44949494949495,20
IND421302AAG,IND401104AAA,2.44949494949495,110
IND400072AAD,IND421302AAG,2.4444444444444446,179
IND515401AAB,IND515801AAA,2.4375,31
IND401104AAA,IND421302AAG,2.428571428571429,24
IND262122AAB,IND244901AAB,2.4285714285714284,38
IND421302AAN,IND400072AAB,2.4285714285714284,39
IND742102AAB,IND742303AAB,2.4285714285714284,29
IND507303AAA,IND507002AAA,2.41875,68
IND415612AAA,IND415408AAC,2.41640866873065,24
IND803116AAA,IND803108AAB,2.414285714285714,24
IND401209AAA,IND401104AAA,2.4097222222222223,46
IND246763AAA,IND246761AAA,2.4092105263157895,22
IND245101AAA,IND245304AAA,2.408333333333333,28
IND401104AAB,IND421302AAG,2.4058823529411764,32
IND788026AAC,IND781018AAB,2.404891304347826,116
IND210431AAA,IND209304AAA,2.403174603174603,20
IND210501AAB,IND209304AAA,2.4,114
IND670645AAB,IND673592AAA,2.4,21
IND410206AAA,IND000000AFT,2.4,21
IND516115AAA,IND517501AAB,2.4,103
IND400072AAB,IND000000AFT,2.4,95
IND741156AAA,IND742102AAB,2.4,59
IND221706AAA,IND273014AAB,2.3856209150326797,30
IND68004AAA,IND678683AAA,2.3846153846153846,23
IND211002AAB,IND485001AAC,2.3833333333333333,60
IND600008AAC,IND600056AAB,2.380952380952381,60
IND273014AAB,IND274001AAA,2.3762626262626263,30
IND516101AAA,IND516115AAA,2.375,53
IND842003AAB,IND483501AAA,2.375,38
IND742101AAC,IND712311AAA,2.3684210526315788,45
IND110078AAA,IND110043AAA,2.35625,24
IND000000ACK,IND501359AAF,2.3484848484848486,58
IND421302AAG,IND421401AAC,2.3484848484848486,42
IND712103AAA,IND712310AAE,2.346153846153846,62
IND401209AAB,IND421302AAH,2.3452380952380953,48
IND632006AAA,IND632301AAA,2.3428571428571425,24
IND583231AAA,IND583201AAA,2.3333333333333335,27
IND382430AAB,IND380015AAB,2.3333333333333335,41
IND691305AAA,IND689645AAA,2.3333333333333335,36
IND742401AAA,IND742101AAC,2.3333333333333335,25
IND401104AAA,IND401208AAA,2.3333333333333335,57
IND431112AAB,IND431136AAC,2.3333333333333335,64
IND583101AAA,IND583201AAA,2.3327205882352944,48
IND573134AAB,IND573201AAB,2.319047619047619,26
IND411033AAA,IND000000AAL,2.3166666666666664,30
IND485001AAC,IND486771AAA,2.3142857142857145,21
IND396191AAC,IND396232AAA,2.3125,24
IND828401AAB,IND826004AAA,2.3095238095238093,22
IND530012AAA,IND530043AAA,2.3055555555555554,22
IND421302AAG,IND000000AFT,2.3,75
IND712311AAA,IND781018AAB,2.2941176470588234,171
IND580028AAA,IND403726AAA,2.2941176470588234,73
IND212601AAA,IND210001AAA,2.2941176470588234,55
IND600056AAB,IND631501AAA,2.291666666666667,24
IND000000AAL,IND411033AAA,2.291666666666667,32
IND794101AAA,IND781018AAB,2.2903225806451615,56
IND262802AAA,IND262723AAB,2.289473684210526,51
IND521333AAA,IND521225AAB,2.2875494071146245,34
IND741126AAB,IND741156AAA,2.2857142857142856,43
IND362265AAA,IND362720AAA,2.2857142857142856,63
IND380021AAA,IND382430AAB,2.2857142857142856,37
IND515201AAA,IND515301AAA,2.2857142857142856,33
IND573201AAB,IND575004AAB,2.2857142857142856,59
IND600076AAB,IND600032AAB,2.2857142857142856,24
IND786001AAB,IND786171AAA,2.2857142857142856,60
IND121004AAA,IND121004AAB,2.283333333333333,20
IND560078AAC,IND560099AAB,2.282051282051282,34
IND431517AAB,IND411033AAA,2.2817460317460316,112
IND395023AAD,IND395004AAB,2.2777777777777777,28
IND834002AAB,IND832109AAB,2.2777777777777777,35
IND421601AAB,IND421302AAG,2.2777777777777777,38
IND834002AAB,IND826004AAA,2.267857142857143,188
IND262701AAA,IND262802AAA,2.267857142857143,32
IND846004AAA,IND847103AAA,2.257575757575758,30
IND400701AAB,IND421302AAG,2.2564935064935066,40
IND517583AAA,IND516101AAA,2.25,99
IND450331AAA,IND452001AAC,2.25,96
IND302014AAB,IND302026AAA,2.25,34
IND431603AAA,IND413531AAA,2.25,47
IND673121AAA,IND670645AAB,2.25,21
IND531163AAA,IND535001AAA,2.25,33
IND421302AAG,IND400015AAA,2.25,147
IND421302AAG,IND400072AAJ,2.25,88
IND421302AAG,IND400072AAB,2.25,243
IND421302AAG,IND400072AAA,2.25,73
IND421302AAG,IND400701AAB,2.25,38
IND441912AAA,IND441107AAB,2.25,69
IND472001AAA,IND485001AAC,2.236111111111111,136
IND000000ACN,IND501359AAF,2.236111111111111,22
IND586128AAA,IND585104AAA,2.236111111111111,36
IND431136AAC,IND431122AAA,2.235294117647059,30
IND400015AAB,IND421302AAG,2.2261904761904763,58
IND401501AAA,IND401602AAA,2.2222222222222223,35
IND431136AAC,IND431001AAA,2.2222222222222223,33
IND131028AAB,IND110037AAM,2.2182539682539684,24
IND382721AAA,IND382430AAB,2.2083333333333335,48
IND500055AAC,IND501401AAC,2.208333333333333,28
IND273304AAA,IND273014AAB,2.2,80
IND761200AAA,IND532001AAB,2.2,33
IND607106AAA,IND607801AAA,2.2,23
IND209206AAB,IND210301AAA,2.2,33
IND370110AAA,IND370001AAA,2.19375,24
IND160002AAC,IND147101AAA,2.1904761904761907,27
IND842003AAB,IND480886AAA,2.184659090909091,26
IND600032AAB,IND600076AAB,2.1833333333333336,64
IND731224AAA,IND742147AAA,2.1818181818181817,27
IND517501AAB,IND517583AAA,2.1818181818181817,45
IND713130AAA,IND741123AAB,2.1818181818181817,73
IND411033AAA,IND411014AAA,2.1818181818181817,90
IND135001AAA,IND173025AAA,2.1761538461538463,26
IND431514AAA,IND431515AAA,2.169934640522876,22
IND635802AAB,IND635601AAB,2.166666666666667,40
IND591307AAC,IND580028AAA,2.166666666666667,20
IND757037AAA,IND756100AAC,2.1666666666666665,39
IND854326AAB,IND852201AAA,2.1666666666666665,25
IND421302AAG,IND400102AAC,2.1666666666666665,136
IND530012AAC,IND501359AAE,2.1666666666666665,23
IND742401AAA,IND742102AAB,2.159090909090909,39
IND781018AAB,IND712311AAA,2.1589473684210527,118
IND842001AAA,IND846004AAA,2.158695652173913,54
IND517644AAA,IND524132AAA,2.1578947368421053,24
IND600056AAB,IND600116AAB,2.1547619047619047,56
IND421302AAG,IND400102AAB,2.1538461538461537,79
IND282002AAD,IND205001AAB,2.1497326203208553,40
IND600044AAD,IND603001AAA,2.145833333333333,36
IND631501AAA,IND631003AAA,2.142857142857143,21
IND531116AAA,IND530012AAA,2.142857142857143,21
IND607801AAA,IND606003AAA,2.142857142857143,37
IND577002AAA,IND581115AAC,2.142857142857143,52
IND302014AAB,IND302020AAA,2.1363636363636362,22
IND273014AAB,IND277303AAC,2.135632183908046,60
IND845455AAB,IND842001AAA,2.133928571428571,112
IND173025AAA,IND160002AAC,2.1318840579710145,40
IND802158AAB,IND821115AAB,2.128205128205128,29
IND521301AAA,IND521001AAA,2.125,31
IND382421AAA,IND382430AAB,2.125,51
IND452001AAC,IND425201AAA,2.125,21
IND313001AAB,IND327001AAB,2.125,49
IND600008AAA,IND600044AAC,2.125,45
IND600056AAB,IND600008AAC,2.125,120
IND842001AAA,IND845412AAB,2.125,27
IND533106AAA,IND501359AAE,2.1213235294117645,118
IND442101AAB,IND445001AAB,2.1176470588235294,25
IND485001AAC,IND471001AAA,2.1176470588235294,42
IND509103AAB,IND518002AAA,2.1176470588235294,21
IND845418AAB,IND845438AAA,2.1176470588235294,36
IND302014AAA,IND306401AAB,2.117647058823529,26
IND342902AAA,IND302014AAA,2.1171428571428574,40
IND577598AAB,IND573142AAA,2.1153846153846154,37
IND784176AAA,IND781018AAB,2.1132478632478633,24
IND532001AAB,IND532421AAA,2.111111111111111,25
IND402107AAA,IND402109AAA,2.111111111111111,57
IND282001AAF,IND283122AAB,2.111111111111111,25
IND843105AAB,IND848101AAA,2.111111111111111,27
IND412105AAC,IND411017AAA,2.1,53
IND421302AAG,IND444005AAB,2.1,336
IND342005AAD,IND342902AAA,2.0982142857142856,20
IND277201AAA,IND221706AAA,2.09375,24
IND205001AAB,IND209721AAB,2.088815789473684,24
IND341510AAB,IND305001AAC,2.0833333333333335,27
IND721253AAC,IND721306AAA,2.0833333333333335,20
IND500039AAD,IND501359AAE,2.0833333333333335,21
IND560099AAB,IND560085AAA,2.083333333333333,32
IND413531AAA,IND413517AAA,2.083333333333333,26
IND444602AAA,IND444005AAB,2.0788690476190474,80
IND441206AAB,IND442605AAA,2.076923076923077,35
IND560064AAD,IND560043AAC,2.0714285714285716,61
IND530012AAA,IND764001AAC,2.0625,34
IND302014AAB,IND302023AAA,2.0625,42
IND751002AAB,IND760003AAB,2.0588235294117645,86
IND136128AAA,IND136027AAA,2.0588235294117645,35
IND629179AAA,IND627005AAA,2.0588235294117645,31
IND249407AAA,IND246149AAA,2.0526315789473686,27
IND560300AAA,IND560078AAC,2.05,40
IND600056AAB,IND600016AAC,2.05,44
IND342005AAD,IND342601AAA,2.05,24
IND302014AAA,IND305001AAC,2.0488095238095236,84
IND415605AAA,IND415709AAA,2.0488095238095236,28
IND144001AAB,IND000000ACA,2.0454545454545454,63
IND815353AAA,IND814133AAB,2.043181818181818,24
IND813102AAA,IND812002AAA,2.0417391304347827,30
IND518422AAB,IND518102AAA,2.037847222222222,26
IND126112AAA,IND131028AAB,2.033333333333333,52
IND842001AAA,IND848114AAA,2.03125,48
IND845412AAB,IND845401AAA,2.025,26
IND411033AAA,IND431136AAC,2.0227272727272725,110
IND756100AAC,IND758034AAA,2.02027027027027,56
IND842001AAA,IND845418AAB,2.019230769230769,36
IND627401AAA,IND627005AAA,2.0185185185185186,20
IND610001AAA,IND605010AAB,2.0166666666666666,54
IND249407AAA,IND131028AAB,2.0161290322580645,100
IND533003AAA,IND533401AAA,2.0,39
IND563116AAA,IND563131AAB,2.0,22
IND688009AAA,IND686028AAB,2.0,27
IND583201AAA,IND583227AAA,2.0,30
IND209111AAA,IND285001AAD,2.0,46
IND641011AAA,IND641062AAD,2.0,23
IND574104AAA,IND574216AAA,2.0,25
IND605601AAA,IND607106AAA,2.0,25
IND209304AAA,IND209801AAA,2.0,64
IND203390AAA,IND201301AAF,2.0,59
IND208012AAA,IND209304AAA,2.0,20
IND591102AAA,IND591307AAC,2.0,30
IND585314AAA,IND585104AAA,2.0,41
IND847103AAA,IND847404AAB,2.0,29
IND786181AAC,IND786001AAB,2.0,75
IND000000AFT,IND410209AAA,2.0,66
IND110044AAB,IND201301AAF,2.0,20
IND000000ABG,IND501359AAF,2.0,24
IND785682AAA,IND786001AAB,2.0,21
IND854105AAB,IND851204AAA,2.0,20
IND847212AAA,IND847226AAA,2.0,40
IND600016AAB,IND600044AAC,2.0,78
IND631003AAA,IND600056AAB,2.0,27
IND160002AAC,IND144001AAB,2.0,76
IND620020AAA,IND621112AAA,2.0,42
IND606801AAB,IND632006AAA,2.0,33
IND532201AAA,IND532222AAA,2.0,31
IND560048AAB,IND562132AAA,2.0,59
IND431203AAA,IND431112AAB,2.0,56
IND444005AAB,IND421302AAG,2.0,398
IND712310AAE,IND711303AAA,2.0,75
IND500050AAA,IND501359AAE,2.0,62
IND451666AAA,IND424006AAA,2.0,25
IND144001AAC,IND160002AAC,2.0,186
IND143001AAA,IND144001AAB,2.0,72
IND501359AAE,IND508252AAB,2.0,21
IND501359AAE,IND533106AAA,2.0,170
IND506002AAA,IND506143AAA,2.0,26
IND500010AAB,IND501359AAE,2.0,139
IND721212AAA,IND712310AAE,2.0,63
IND462022AAA,IND465669AAB,2.0,27
IND321022AAA,IND121004AAB,2.0,53
IND742226AAA,IND742102AAB,2.0,33
IND764001AAC,IND764059AAA,2.0,25
IND416606AAA,IND416510AAA,2.0,28
IND415409AAB,IND415124AAA,2.0,21
IND342902A1B,IND302014AAA,2.0,90
IND362720AAA,IND362560AAA,2.0,54
IND421302AAG,IND400015AAB,2.0,130
IND127021AAA,IND127201AAA,2.0,24
IND411033AAA,IND411021AAA,2.0,41
IND411036AAA,IND411033AAA,2.0,86
IND413002AAA,IND413304AAA,2.0,50
IND121001AAA,IND121004AAB,2.0,31
IND121102AAA,IND121004AAB,2.0,46
IND382430AAB,IND382345AAA,2.0,45
IND382430AAB,IND380054AAA,2.0,69
IND382430AAB,IND380005AAA,2.0,86
IND853204AAA,IND851204AAA,1.992063492063492,30
IND421302AAG,IND410401AAA,1.9827586206896552,40
