node,betweenness,pagerank,in_degree,out_degree,clustering
IND000000AAL,0.0,0.00047102051190047465,1,1,0.0
IND411033AAA,0.043957588327045986,0.0061407451616319435,22,20,0.06157635467980296
IND000000AAQ,0.0,0.00012357084238267445,0,1,0.0
IND700028AAB,0.00040474875221206436,0.0005398152639132882,2,1,0.0
IND000000AAS,0.0032005132813805828,0.0005308970211382113,1,1,0.0
IND783370AAC,0.0032050104897384944,0.0005747697082562554,1,1,0.0
IND000000AAZ,0.000799378785618827,0.00039759100606867874,1,2,0.6666666666666666
IND444203AAA,0.0008083732023346507,0.0005457866811751262,2,1,0.6666666666666666
IND444303AAA,0.0,0.0002635229334373752,1,1,1.0
IND000000ABA,0.0003998767764909932,0.00045961111512126627,1,1,1.0
IND683565AAA,0.00040437398484890504,0.0005146536532035574,1,1,1.0
IND000000ABD,0.00040437398484890504,0.0005389665274351095,1,1,0.0
IND562132AAA,0.14588531668966487,0.008868899738256332,34,33,0.05893719806763285
IND000000ABG,0.0,0.00012357084238267445,0,1,0.0
IND501359AAF,0.0,0.0005280082714355062,3,0,0.0
IND000000ACA,0.00920466120655603,0.003144135504816013,13,9,0.11666666666666667
IND140406AAA,0.0003995020091278339,0.0004255598155510236,1,1,1.0
IND142001AAB,0.0,0.000657133793598316,2,2,0.8333333333333334
IND142401AAA,0.0,0.0007482599256296978,2,1,1.0
IND143001AAA,0.0,0.001006612578618372,3,1,1.0
IND144001AAB,0.003614256450308471,0.0027908002368459872,5,5,0.26666666666666666
IND144514AAA,0.0003995020091278339,0.00033558773476974926,1,2,1.0
IND147301AAA,0.0,0.0007031182612544387,2,2,1.0
IND152026AAA,0.003644612606724376,0.0014117583332346295,5,6,0.19444444444444445
IND160002AAC,0.051632074389822515,0.008171450258575136,32,27,0.03484320557491289
IND000000ACB,0.22867929732618475,0.010125628057418231,45,48,0.03785310734463277
IND000000AEL,0.0,0.0002943883571836349,1,1,0.0
IND110024AAA,0.0004006263112173118,0.002325842434024523,3,1,0.3333333333333333
IND110030AAD,0.0,0.0003497958661479093,2,1,1.0
IND110037AAK,0.0,0.0002984726015600292,1,1,0.0
IND110043AAA,0.0012086247461888032,0.0008280387840691708,3,2,0.0
IND110043AAC,0.0,0.00029655060420643193,1,1,0.0
IND110052AAA,0.0,0.00029222611016083795,1,1,0.0
IND110064AAA,0.000800503087708305,0.0004888658851640154,2,3,0.16666666666666666
IND110085AAB,0.0024067560062091455,0.0010975609195749553,4,5,0.06666666666666667
IND110092AAC,0.0008042507613398982,0.0011716562161758217,3,2,0.3333333333333333
IND110095AAB,0.0,0.0002781715045126577,1,1,0.0
IND121002AAB,0.0,0.00031096558435841166,1,1,0.0
IND121004AAB,0.00481950829022884,0.0024106940293303404,9,7,0.05555555555555555
IND122001AAA,0.0020080035318076304,0.0004678346688294654,2,4,0.1
IND124103AAA,0.0,0.00030346979467938225,1,1,1.0
IND124112AAA,0.0,0.0002943082739605684,1,3,0.8333333333333334
IND125001AAA,0.00591457852538037,0.0017075315477826803,6,7,0.10909090909090909
IND125005AAA,0.006842127749199684,0.0010449476325494482,4,5,0.14285714285714285
IND125033AAA,0.0,0.00038807270621285674,2,2,0.8333333333333334
IND127021AAA,0.0012030032357414134,0.0005983686045967089,2,1,0.3333333333333333
IND131028AAB,0.04653973545921369,0.005968163298764408,19,18,0.03940886699507389
IND201001AAC,0.0009148071334718973,0.00043230438955472794,2,2,1.0
IND201007AAA,0.0036101340093137183,0.0021849418288283073,8,5,0.17857142857142858
IND201301AAF,0.0016137482657640268,0.002709612759639894,8,3,0.1388888888888889
IND201301AAM,0.0,0.0003153748724048996,1,1,0.0
IND209304AAA,0.0397796817625459,0.004939820286364611,16,13,0.03463203463203463
IND282002AAD,0.004488588708559162,0.0010783842174917182,5,4,0.2857142857142857
IND301001AAB,0.0032098824654595657,0.0009833581263848279,5,3,0.26666666666666666
IND301705AAA,0.001197756492657183,0.0006276060292819135,2,1,0.3333333333333333
IND302014AAA,0.04094670733142402,0.0029552581899731623,10,8,0.06666666666666667
IND302022AAD,0.0,0.0002955330761957039,1,1,0.0
IND328001AAA,0.0008094975044241287,0.0006763654081162986,3,3,0.5
IND382430AAB,0.03051918021887913,0.0033892887861501045,16,13,0.03985507246376811
IND390022AAA,0.004756547373218074,0.001039370949020229,5,4,0.26666666666666666
IND421302AAG,0.050549371477655244,0.005856847049459881,28,28,0.06722689075630252
IND462022AAA,0.030114056699303907,0.004146371467848115,12,9,0.08088235294117647
IND474003AAA,0.0075774213157182675,0.002104114173854807,7,5,0.13333333333333333
IND501359AAE,0.07588851720294626,0.008481275157282002,30,27,0.042682926829268296
IND521225AAB,0.011391054003227496,0.002772404252557004,8,8,0.10256410256410256
IND600056AAB,0.04272985044533605,0.0038467260023186977,16,18,0.05928853754940711
IND712311AAA,0.07775373436939019,0.006089448722619385,21,22,0.043010752688172046
IND751002AAB,0.017739238367783197,0.0027316444108940767,13,6,0.08333333333333333
IND821115AAB,0.006410020979476989,0.0021387627127118997,6,5,0.1388888888888889
IND834002AAB,0.007036257243316211,0.0014067743729785063,5,7,0.15555555555555556
IND842001AAA,0.023333016030299192,0.0034582582064459984,10,15,0.05928853754940711
IND000000ACK,0.0,0.00012357084238267445,0,1,0.0
IND000000ACN,3.7476736315931883e-07,0.00022861554047598975,1,1,0.0
IND000000ACT,0.0,0.00012357084238267445,0,3,1.0
IND000000ADM,0.0,0.0005676638437035097,1,1,0.0
IND683511AAA,0.02190740098084114,0.0032119723839592255,12,7,0.03333333333333333
IND000000ADV,0.0,0.00012357084238267445,0,1,0.0
IND600044AAC,0.0,0.0004387049366626203,3,0,0.0
IND000000AEM,0.0,0.00012357084238267445,0,2,0.0
IND110037AAB,0.0,0.00018028209043305325,1,0,0.0
IND110064AAB,0.0,0.00017190429242561092,1,0,0.0
IND000000AET,0.003196016073022671,0.0004786986476105949,1,1,0.0
IND000000AFF,3.7476736315931883e-07,0.00022861554047598975,1,1,0.0
IND734203AAA,0.0,0.0003179188752488756,1,0,0.0
IND000000AFG,0.0,0.00012357084238267445,0,2,0.0
IND673027AAB,3.7476736315931883e-07,0.0001721648403585432,1,1,0.0
IND673632AAA,0.0024453570446145555,0.0007614552152523452,2,4,0.06666666666666667
IND000000AFJ,0.0,0.00012357084238267445,0,2,1.0
IND695121AAA,0.0004092459605699762,0.00015681033839905683,1,2,0.6666666666666666
IND695572AAB,0.0,0.00027384248938952245,2,1,0.6666666666666666
IND000000AFR,0.0,0.00012357084238267445,0,1,0.0
IND000000AFT,0.004806016665155104,0.0011534980989062501,5,8,0.07142857142857142
IND400072AAB,0.004692087386754672,0.002089585128627403,11,11,0.07692307692307693
IND400701AAA,0.0008001283203451457,0.000288029828440477,1,2,0.3333333333333333
IND400706AAA,0.0,0.00021465581927622662,1,1,0.0
IND410206AAA,0.0004036244501225864,0.00030423727128722327,2,1,1.0
IND410206AAB,0.0,0.0002652585842170889,1,1,0.0
IND410209AAA,0.0,0.0002247763722643991,1,0,0.0
IND410210AAA,0.0,0.000278993620415323,1,0,0.0
IND110014AAA,0.0,0.002092239600818863,1,1,0.0
IND110020AAB,0.0,0.00039407737212685196,1,1,0.0
IND110037AAM,0.0425949341945987,0.004946419315412264,19,23,0.06881720430107527
IND110035AAC,0.0,0.00030873900262422455,1,1,0.0
IND201301AAD,0.0,0.00039729768795713984,1,1,0.0
IND202001AAB,0.0026945773411155022,0.0007356998311380532,3,4,0.26666666666666666
IND226004AAC,0.0,0.0002615392755038294,1,0,0.0
IND250002AAC,0.0,0.00027385224779610644,1,0,0.0
IND282001AAA,0.0,0.0006214580284529878,2,2,1.0
IND282001AAC,0.0,0.0003114225991494644,1,1,1.0
IND781018AAB,0.03957543354962407,0.004182076114675468,16,15,0.021645021645021644
IND811399AAA,0.0003976281723120373,0.00030662037378850884,1,2,0.6666666666666666
IND110039AAA,0.0,0.00028351320682576376,1,1,0.0
IND110078AAA,0.0,0.00046968977139773987,1,1,0.0
IND110044AAB,0.0024326149542671384,0.00039906082787959714,2,6,0.39285714285714285
IND110005AAA,0.0,0.00029552719568693125,1,0,0.0
IND110046AAA,0.0,0.00029552719568693125,1,0,0.0
IND110077AAA,0.0,0.00012357084238267445,0,1,0.0
IND110083AAA,0.0,0.00045214379847316905,1,1,0.0
IND110085AAA,0.0,0.00028351320682576376,1,0,0.0
IND110087AAA,0.0,0.0002775894155500938,1,0,0.0
IND110093AAA,0.0,0.0008292964268622133,1,1,0.0
IND121001AAA,0.0,0.0003562044698337143,1,1,0.0
IND121002AAA,0.0,0.0005400338397775431,1,1,0.0
IND121004AAA,0.0,0.00037409936425302507,1,1,0.0
IND121004AAC,0.0,0.0004027311953239223,1,1,0.0
IND121102AAA,0.0,0.0003689865372760791,1,1,0.0
IND122001AAD,0.0004006263112173118,0.000223163207544645,1,1,1.0
IND122050AAA,0.0,0.0004957512847743275,2,0,1.0
IND122101AAC,0.0,0.0001869478020312012,1,0,0.0
IND122001AAJ,0.0012030032357414134,0.00042391017620192734,1,1,0.0
IND507123AAA,0.0012075004440993253,0.00048392318990794276,1,1,0.0
IND122002AAD,0.0,0.00012357084238267445,0,1,0.0
IND122503AAA,0.00040512351957522363,0.00022861554047598975,1,1,0.0
IND122004AAA,0.0,0.00012357084238267445,0,2,0.0
IND122413AAE,0.0,0.00017638124818827172,1,0,0.0
IND123001AAA,0.001607002453227159,0.0007078752548305666,2,1,0.3333333333333333
IND123401AAB,0.001611499661585071,0.0007257357881631577,1,2,0.0
IND123106AAB,0.0,0.0004194881591941212,1,0,0.0
IND124001AAB,0.0011985060273835015,0.0003776037638426161,1,1,0.0
IND126102AAA,0.0012030032357414134,0.0004445563829157536,1,2,0.3333333333333333
IND124141AAA,0.0012119976524572371,0.0006613693425681574,1,1,0.0
IND124507AAA,0.0008042507613398982,0.0008471431345055386,2,2,0.0
IND131028AAE,0.0,0.0005036640548127341,1,1,0.0
IND125047AAB,0.0004099954952962948,0.0005499319976368342,2,2,0.3333333333333333
IND125051AAA,0.0016062529185008406,0.0009511817930505979,3,1,0.3333333333333333
IND335513AAA,0.004805641897791945,0.0011815831857445711,3,3,0.06666666666666667
